accel,filter_accel,velocity,distance,pressure,temp,altitude,high
0.022828,0.010819,0.000000,0.000000,99377.190000,25.690000,169.090048,-0.011375
-0.003037,0.010697,0.000000,0.000000,99377.190000,25.690000,169.090048,-0.011375
-0.015788,0.010492,0.000000,0.000000,99377.190000,25.690000,169.090048,-0.011375
0.034705,0.010216,0.000000,0.000000,99377.190000,25.690000,169.090048,-0.011375
0.001693,0.010010,0.000000,0.000000,99377.270000,25.690000,169.083048,-0.018374
0.020586,0.009876,0.000000,0.000000,99377.270000,25.690000,169.083048,-0.018374
0.018451,0.009811,0.000000,0.000000,99377.270000,25.690000,169.083048,-0.018374
0.004059,0.009807,0.000000,0.000000,99377.270000,25.690000,169.083048,-0.018374
-0.029581,0.009704,0.000000,0.000000,99377.270000,25.690000,169.083048,-0.018374
0.028062,0.009459,0.000000,0.000000,99377.270000,25.690000,169.083048,-0.018374
0.025556,0.009281,0.000000,0.000000,99377.440000,25.690000,169.068173,-0.033249
-0.000990,0.009223,0.000000,0.000000,99377.440000,25.690000,169.068173,-0.033249
0.027994,0.009207,0.000000,0.000000,99377.440000,25.690000,169.068173,-0.033249
0.001493,0.009240,0.000000,0.000000,99377.440000,25.690000,169.068173,-0.033249
0.025296,0.009314,0.000000,0.000000,99377.440000,25.690000,169.068173,-0.033249
0.011303,0.009439,0.000000,0.000000,99377.440000,25.690000,169.068173,-0.033249
0.006267,0.009587,0.000000,0.000000,99377.460000,25.690000,169.066423,-0.034999
0.018294,0.009724,0.000000,0.000000,99377.460000,25.690000,169.066423,-0.034999
0.016038,0.009890,0.000000,0.000000,99377.460000,25.690000,169.066423,-0.034999
0.003953,0.010069,0.000000,0.000000,99377.460000,25.690000,169.066423,-0.034999
-0.012772,0.010155,0.000000,0.000000,99377.460000,25.690000,169.066423,-0.034999
0.018248,0.010127,0.000000,0.000000,99377.460000,25.690000,169.066423,-0.034999
-0.000784,0.010061,0.000000,0.000000,99377.460000,25.690000,169.066423,-0.034999
0.016047,0.009985,0.000000,0.000000,99377.500000,25.690000,169.062924,-0.038499
0.011182,0.009926,0.000000,0.000000,99377.500000,25.690000,169.062924,-0.038499
0.044771,0.009977,0.000000,0.000000,99377.500000,25.690000,169.062924,-0.038499
0.010827,0.010191,0.000000,0.000000,99377.500000,25.690000,169.062924,-0.038499
-0.003317,0.010428,0.000000,0.000000,99377.500000,25.690000,169.062924,-0.038499
0.003969,0.010555,0.000000,0.000000,99377.500000,25.690000,169.062924,-0.038499
0.006380,0.010592,0.000000,0.000000,99377.500000,25.690000,169.062924,-0.038499
0.020801,0.010612,0.000000,0.000000,99377.500000,25.690000,169.062924,-0.038499
-0.005825,0.010629,0.000000,0.000000,99377.500000,25.690000,169.062924,-0.038499
-0.000778,0.010564,0.000000,0.000000,99377.500000,25.690000,169.062924,-0.038499
0.003753,0.010398,0.000000,0.000000,99377.500000,25.690000,169.062924,-0.038499
-0.000695,0.010171,0.000000,0.000000,99377.500000,25.690000,169.062924,-0.038499
0.042271,0.009984,0.000000,0.000000,99377.620000,25.690000,169.052424,-0.048998
0.013457,0.009956,0.000000,0.000000,99377.620000,25.690000,169.052424,-0.048998
-0.000777,0.009999,0.000000,0.000000,99377.620000,25.690000,169.052424,-0.048998
0.008529,0.009991,0.000000,0.000000,99377.620000,25.690000,169.052424,-0.048998
0.039919,0.010022,0.000000,0.000000,99377.620000,25.690000,169.052424,-0.048998
0.003992,0.010172,0.000000,0.000000,99377.620000,25.690000,169.052424,-0.048998
-0.020204,0.010272,0.000000,0.000000,99377.570000,25.690000,169.056799,-0.044623
-0.010337,0.010151,0.000000,0.000000,99377.570000,25.690000,169.056799,-0.044623
0.006326,0.009869,0.000000,0.000000,99377.570000,25.690000,169.056799,-0.044623
-0.005482,0.009524,0.000000,0.000000,99377.570000,25.690000,169.056799,-0.044623
-0.017350,0.009083,0.000000,0.000000,99377.570000,25.690000,169.056799,-0.044623
0.013467,0.008552,0.000000,0.000000,99377.570000,25.690000,169.056799,-0.044623
-0.027190,0.007969,0.000000,0.000000,99377.570000,25.690000,169.056799,-0.044623
-0.022278,0.007239,0.000000,0.000000,99377.580000,25.690000,169.055924,-0.045498
0.015973,0.006407,0.000000,0.000000,99377.580000,25.690000,169.055924,-0.045498
0.001728,0.005651,0.000000,0.000000,99377.580000,25.690000,169.055924,-0.045498
-0.005762,0.004974,0.000000,0.000000,99377.580000,25.690000,169.055924,-0.045498
0.032551,0.004394,0.000000,0.000000,99377.580000,25.690000,169.055924,-0.045498
0.011342,0.004015,0.000000,0.000000,99377.580000,25.690000,169.055924,-0.045498
0.049246,0.003896,0.000000,0.000000,99377.600000,25.690000,169.054174,-0.047248
0.020624,0.004063,0.000000,0.000000,99377.600000,25.690000,169.054174,-0.047248
0.003838,0.004391,0.000000,0.000000,99377.600000,25.690000,169.054174,-0.047248
0.015793,0.004739,0.000000,0.000000,99377.600000,25.690000,169.054174,-0.047248
-0.005633,0.005067,0.000000,0.000000,99377.600000,25.690000,169.054174,-0.047248
-0.007999,0.005294,0.000000,0.000000,99377.600000,25.690000,169.054174,-0.047248
0.003985,0.005401,0.000000,0.000000,99377.600000,25.690000,169.054174,-0.047248
0.001521,0.005445,0.000000,0.000000,99377.600000,25.690000,169.054174,-0.047248
0.013539,0.005481,0.000000,0.000000,99377.600000,25.690000,169.054174,-0.047248
0.032589,0.005605,0.000000,0.000000,99377.600000,25.690000,169.054174,-0.047248
-0.005705,0.005832,0.000000,0.000000,99377.600000,25.690000,169.054174,-0.047248
0.011136,0.006049,0.000000,0.000000,99377.600000,25.690000,169.054174,-0.047248
0.004149,0.006230,0.000000,0.000000,99377.580000,25.690000,169.055924,-0.045498
-0.000780,0.006372,0.000000,0.000000,99377.580000,25.690000,169.055924,-0.045498
0.013376,0.006473,0.000000,0.000000,99377.580000,25.690000,169.055924,-0.045498
0.018210,0.006603,0.000000,0.000000,99377.580000,25.690000,169.055924,-0.045498
0.008757,0.006792,0.000000,0.000000,99377.580000,25.690000,169.055924,-0.045498
0.018336,0.007019,0.000000,0.000000,99377.580000,25.690000,169.055924,-0.045498
0.015399,0.007294,0.000000,0.000000,99377.580000,25.690000,169.055924,-0.045498
-0.012952,0.007548,0.000000,0.000000,99377.570000,25.690000,169.056799,-0.044623
0.008911,0.007694,0.000000,0.000000,99377.570000,25.690000,169.056799,-0.044623
-0.027030,0.007696,0.000000,0.000000,99377.570000,25.690000,169.056799,-0.044623
-0.007973,0.007500,0.000000,0.000000,99377.570000,25.690000,169.056799,-0.044623
0.011318,0.007184,0.000000,0.000000,99377.570000,25.690000,169.056799,-0.044623
0.013631,0.006909,0.000000,0.000000,99377.570000,25.690000,169.056799,-0.044623
0.013604,0.006729,0.000000,0.000000,99377.620000,25.690000,169.052424,-0.048998
0.023229,0.006660,0.000000,0.000000,99377.620000,25.690000,169.052424,-0.048998
0.001664,0.006683,0.000000,0.000000,99377.620000,25.690000,169.052424,-0.048998
