Keuwl Accelerometer Data File
2025-03-31 16:44:57

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
1.1885079,-0.129811,9.853643,-0.133400,9.855401,90.775566,90.754761
1.2093581,-0.139980,9.854242,-0.159123,9.856521,90.925018,90.813835
1.2302086,-0.126820,9.845867,-0.180658,9.848341,91.051094,90.737953
1.2510591,-0.123829,9.848858,-0.131605,9.850515,90.765511,90.720337
1.2719113,-0.116052,9.845269,-0.119641,9.846680,90.696182,90.675346
1.2927625,-0.124427,9.843474,-0.132203,9.845148,90.769409,90.724213
1.3136103,-0.117847,9.842875,-0.152542,9.844763,90.887817,90.685959
1.3344582,-0.105284,9.856036,-0.136391,9.857542,90.792778,90.612022
1.3553079,-0.118445,9.854242,-0.111864,9.855589,90.650345,90.688644
1.3761572,-0.125623,9.844072,-0.101695,9.845399,90.591827,90.731133
1.3970091,-0.121436,9.853045,-0.160319,9.855098,90.932106,90.706116
1.4178615,-0.120838,9.839287,-0.166899,9.841444,90.971718,90.703621
1.4387110,-0.139382,9.838090,-0.125025,9.839871,90.728020,90.811691
1.4595605,-0.135194,9.842278,-0.113061,9.843856,90.658081,90.786972
1.4804122,-0.130409,9.842278,-0.156730,9.844389,90.912231,90.759117
1.5012643,-0.115454,9.841082,-0.171685,9.843256,90.999397,90.672150
1.5221136,-0.135793,9.847662,-0.150150,9.849743,90.873451,90.790024
1.5429630,-0.129212,9.853045,-0.114257,9.854555,90.664322,90.751335
1.5638129,-0.132802,9.863214,-0.113659,9.864763,90.660164,90.771400
1.5846630,-0.117248,9.852448,-0.136989,9.854097,90.796539,90.681808
1.6055138,-0.117847,9.857233,-0.138186,9.858906,90.803101,90.684959
1.6263660,-0.117248,9.853643,-0.162712,9.855684,90.945969,90.681732
1.6472183,-0.117847,9.837492,-0.138186,9.839168,90.804710,90.686333
1.6680708,-0.123829,9.846465,-0.105284,9.847807,90.612572,90.720512
1.6889216,-0.132203,9.838689,-0.159721,9.840874,90.929970,90.769844
1.7097731,-0.125623,9.836296,-0.188435,9.838902,91.097397,90.731705
1.7306237,-0.135793,9.853045,-0.157328,9.855237,90.914703,90.789589
1.7514765,-0.129811,9.845269,-0.110668,9.846747,90.643967,90.755409
1.7723275,-0.122632,9.847662,-0.096311,9.848897,90.560295,90.713463
1.7931768,-0.132203,9.841082,-0.137587,9.842931,90.800926,90.769653
1.8140262,-0.128016,9.835697,-0.126820,9.837348,90.738655,90.745689
1.8348768,-0.125623,9.847063,-0.141775,9.848885,90.824799,90.730904
1.8557270,-0.126820,9.857233,-0.096311,9.858520,90.559753,90.737106
1.8765763,-0.117248,9.854242,-0.107677,9.855529,90.625999,90.681686
1.8974270,-0.127418,9.866206,-0.151944,9.868198,90.882240,90.739906
1.9182768,-0.123230,9.845269,-0.196211,9.847995,91.141640,90.717117
1.9391258,-0.129811,9.858429,-0.150150,9.860427,90.872505,90.754395
1.9599764,-0.125623,9.850653,-0.078365,9.851766,90.455757,90.730644
1.9808252,-0.126820,9.832706,-0.081356,9.833860,90.474014,90.738945
2.0016730,-0.121436,9.829716,-0.167498,9.831893,90.976143,90.707794
2.0225232,-0.117248,9.837492,-0.200997,9.840243,91.170410,90.682846
2.0433736,-0.132802,9.835099,-0.088534,9.836394,90.515709,90.773605
2.0642221,-0.126221,9.836296,-0.062812,9.837306,90.365837,90.735191
2.0850735,-0.123829,9.847662,-0.122034,9.849196,90.709930,90.720421
2.1059253,-0.129811,9.863214,-0.198006,9.866055,91.149971,90.754028
2.1267748,-0.129212,9.860224,-0.153141,9.862259,90.889725,90.750786
2.1476250,-0.142373,9.847063,-0.042473,9.848184,90.247101,90.828346
2.1684756,-0.133400,9.856635,-0.062213,9.857734,90.361603,90.775398
2.1893272,-0.134596,9.876974,-0.140578,9.878892,90.815353,90.780739
2.2101774,-0.125623,9.866804,-0.184247,9.869324,91.069702,90.729446
2.2310269,-0.122034,9.868599,-0.206381,9.871511,91.197952,90.708473
2.2518780,-0.130409,9.857831,-0.125623,9.859494,90.730042,90.757919
2.2727280,-0.126221,9.848858,-0.095713,9.850132,90.556747,90.734253
2.2935801,-0.128614,9.844072,-0.090329,9.845326,90.525688,90.748535
2.3144305,-0.131007,9.837492,-0.188435,9.840169,91.097252,90.762970
2.3352804,-0.116650,9.818948,-0.189631,9.821471,91.106323,90.680649
2.3561313,-0.136391,9.816555,-0.133400,9.818409,90.778488,90.796013
2.3769817,-0.118445,9.836296,-0.113659,9.837666,90.661980,90.689896
2.3978317,-0.128614,9.841082,-0.102293,9.842454,90.595490,90.748764
2.4186828,-0.116052,9.853643,-0.157328,9.855582,90.914673,90.674774
2.4395337,-0.122632,9.862617,-0.169890,9.864841,90.986786,90.712379
2.4603858,-0.111266,9.865608,-0.113061,9.866883,90.656548,90.646164
2.4812376,-0.114855,9.851849,-0.071785,9.852779,90.417442,90.667938
2.5020871,-0.128614,9.860822,-0.111864,9.862294,90.649902,90.747261
2.5229387,-0.145364,9.860224,-0.145364,9.862367,90.844528,90.844620
2.5437906,-0.140578,9.856036,-0.157328,9.858294,90.914421,90.817162
2.5646436,-0.116650,9.841680,-0.073579,9.842647,90.428322,90.679077
2.5854945,-0.128016,9.844670,-0.089133,9.845906,90.518692,90.745010
2.6063437,-0.125623,9.853643,-0.149551,9.855579,90.869453,90.730415
2.6271951,-0.121436,9.823733,-0.171685,9.825984,91.001152,90.708221
2.6480465,-0.126221,9.828519,-0.122034,9.830087,90.711304,90.735771
2.6688995,-0.113659,9.827921,-0.108275,9.829174,90.631165,90.662590
2.6897507,-0.119641,9.829716,-0.114855,9.831115,90.669395,90.697334
2.7106013,-0.120838,9.835697,-0.113659,9.837096,90.662018,90.703880
2.7314510,-0.124427,9.849456,-0.135793,9.851177,90.789810,90.723770
2.7523036,-0.122632,9.866206,-0.140578,9.867970,90.816261,90.712120
2.7731566,-0.113061,9.863214,-0.123230,9.864632,90.715767,90.656746
2.7940083,-0.121436,9.870992,-0.131007,9.872608,90.760323,90.704834
2.8148592,-0.150748,9.873982,-0.105882,9.875701,90.614311,90.874680
2.8357103,-0.140578,9.857831,-0.150748,9.859986,90.876022,90.817017
2.8565607,-0.123230,9.864411,-0.171087,9.866665,90.993553,90.715729
2.8774133,-0.133400,9.856635,-0.140578,9.858540,90.817039,90.775398
2.8982654,-0.122034,9.839885,-0.153141,9.841833,90.891571,90.710541
2.9191172,-0.110668,9.834501,-0.151944,9.836297,90.885101,90.644722
2.9399679,-0.115454,9.840483,-0.074178,9.841439,90.431854,90.672195
2.9608207,-0.113061,9.836296,-0.107677,9.837535,90.627144,90.658546
2.9816709,-0.128614,9.842875,-0.101695,9.844241,90.591896,90.748627
3.0025234,-0.120239,9.845269,-0.174078,9.847543,91.012886,90.699715
3.0233767,-0.110668,9.836296,-0.147757,9.838029,90.860558,90.644608
3.0442269,-0.128016,9.841082,-0.117847,9.842620,90.686020,90.745277
3.0650773,-0.122632,9.860822,-0.097508,9.862066,90.566498,90.712509
3.0859294,-0.113659,9.863813,-0.121436,9.865215,90.705299,90.660179
3.1067829,-0.119641,9.873982,-0.122034,9.875462,90.708038,90.694206
3.1276360,-0.126221,9.855438,-0.094516,9.856700,90.549423,90.733765
3.1484888,-0.116650,9.855438,-0.075972,9.856421,90.441635,90.678131
3.1693459,-0.147757,9.845867,-0.129811,9.847832,90.755272,90.859772
3.1902020,-0.117248,9.826126,-0.158524,9.828104,90.924202,90.683640
3.2110553,-0.156730,9.829117,-0.146560,9.831458,90.854156,90.913528
3.2319086,-0.137587,9.829117,-0.133998,9.830993,90.780975,90.801971
3.2527590,-0.137587,9.832108,-0.098106,9.833561,90.571625,90.801727
3.2736075,-0.159123,9.829117,-0.209372,9.832634,91.220123,90.927475
3.2944577,-0.134596,9.839287,-0.201595,9.842272,91.173645,90.783730
3.3153076,-0.136989,9.853045,-0.098704,9.854492,90.573891,90.796547
3.3361597,-0.116650,9.851251,-0.193220,9.853836,91.123566,90.678413
3.3570118,-0.105284,9.869795,-0.058624,9.870530,90.340302,90.611168
3.3778656,-0.099900,9.862019,-0.140578,9.863526,90.816628,90.580376
3.3987198,-0.102293,9.857233,-0.153141,9.858953,90.890022,90.594566
3.4195731,-0.109472,9.861421,-0.123829,9.862806,90.719376,90.636017
3.4404299,-0.107079,9.862019,-0.069392,9.862844,90.403122,90.622078
3.4612854,-0.113659,9.871590,-0.167498,9.873665,90.972015,90.659660
3.4821362,-0.119641,9.847063,-0.126221,9.848598,90.734329,90.696106
3.5029867,-0.131007,9.836894,-0.135793,9.838703,90.790817,90.763016
3.5238376,-0.138784,9.838689,-0.079561,9.839990,90.463272,90.808159
3.5446897,-0.148355,9.826126,-0.126221,9.828056,90.735870,90.864990
3.5655410,-0.147159,9.818948,-0.116052,9.820736,90.677078,90.858643
3.5863984,-0.160319,9.834501,-0.148355,9.836926,90.864136,90.933937
3.6072516,-0.123829,9.827921,-0.082552,9.829047,90.481224,90.721870
3.6281047,-0.129212,9.834501,-0.106481,9.835926,90.620277,90.752747
3.6489570,-0.122034,9.849456,-0.091525,9.850637,90.532364,90.709854
3.6698086,-0.122632,9.853643,-0.131605,9.855286,90.765137,90.713028
3.6906605,-0.110070,9.855438,-0.190828,9.857900,91.109192,90.639877
3.7115152,-0.092722,9.859626,-0.083151,9.860413,90.483170,90.538803
3.7323685,-0.105284,9.853045,-0.111266,9.854237,90.646950,90.612206
