Keuwl Accelerometer Data File
2025-03-31 16:46:37

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.1741685,-0.041276,9.847063,-0.110668,9.847772,90.643898,90.240166
0.1766216,-0.041276,9.837492,-0.117847,9.838284,90.686325,90.240402
0.1790745,-0.062812,9.839885,-0.093918,9.840533,90.546837,90.365738
0.1815276,-0.024526,9.861421,-0.081954,9.861792,90.476151,90.142502
0.1839809,-0.077169,9.859028,-0.084347,9.859691,90.490158,90.448456
0.1864341,-0.136989,9.830314,-0.110668,9.831891,90.644936,90.798386
0.1888872,-0.017348,9.842278,-0.103490,9.842837,90.602432,90.100990
0.1913403,-0.060419,9.847063,-0.125025,9.848042,90.727417,90.351547
0.1937934,-0.053240,9.856635,-0.132203,9.857665,90.768433,90.309479
0.1962466,-0.046062,9.849456,-0.103490,9.850107,90.601982,90.267944
0.1986997,-0.055633,9.827921,-0.108275,9.828675,90.631195,90.324333
0.2011527,-0.086740,9.839885,-0.122632,9.841031,90.713997,90.505058
0.2036059,-0.077169,9.832706,-0.055633,9.833167,90.324165,90.449654
0.2060589,-0.069990,9.837492,-0.096311,9.838212,90.560905,90.407631
0.2085119,-0.069990,9.847063,-0.101097,9.847831,90.588203,90.407234
0.2109647,-0.103490,9.832706,-0.093918,9.833699,90.547218,90.603020
0.2134177,-0.043669,9.854242,-0.089133,9.854742,90.518227,90.253906
0.2158706,-0.043669,9.844670,-0.129811,9.845623,90.755447,90.254150
0.2183237,-0.072383,9.847063,-0.153739,9.848530,90.894440,90.421158
0.2207767,-0.053240,9.825528,-0.153739,9.826875,90.896416,90.310455
0.2232295,-0.036491,9.849456,-0.148953,9.850650,90.866409,90.212273
0.2256822,-0.079561,9.830314,-0.146560,9.831728,90.854134,90.463715
0.2281348,-0.067597,9.882956,-0.125025,9.883978,90.724770,90.391884
0.2305881,-0.055633,9.880563,-0.158524,9.881991,90.919167,90.322601
0.2330412,-0.024526,9.837492,-0.108275,9.838119,90.630592,90.142845
0.2354941,-0.014955,9.859028,-0.122632,9.859801,90.712639,90.086914
0.2379476,-0.074776,9.847063,-0.117847,9.848052,90.685646,90.435081
0.2404002,-0.058026,9.820743,-0.120239,9.821650,90.701447,90.338531
0.2428528,-0.043669,9.832706,-0.144168,9.833860,90.840004,90.254463
0.2453054,-0.060419,9.823135,-0.194417,9.825245,91.133812,90.352402
0.2477585,-0.065204,9.825528,-0.168096,9.827182,90.980103,90.380219
0.2502111,-0.048455,9.837492,-0.103490,9.838156,90.602715,90.282211
0.2526644,-0.072383,9.839885,-0.113061,9.840800,90.658287,90.421463
0.2551173,-0.043669,9.844670,-0.163310,9.846122,90.950363,90.254150
0.2575700,-0.074776,9.842278,-0.151346,9.843725,90.880951,90.435287
0.2600231,-0.053240,9.813564,-0.144168,9.814768,90.841637,90.310837
0.2624761,-0.024526,9.849456,-0.117847,9.850191,90.685493,90.142677
0.2649292,-0.031705,9.844670,-0.108275,9.845317,90.630135,90.184525
0.2673820,-0.041276,9.854242,-0.110668,9.854950,90.643425,90.239990
0.2698347,-0.055633,9.856635,-0.120239,9.857526,90.698898,90.323387
0.2722876,-0.105882,9.808778,-0.117847,9.810057,90.688301,90.618462
0.2747400,-0.105882,9.825528,-0.096311,9.826571,90.561569,90.617409
0.2771931,-0.041276,9.861421,-0.096311,9.861978,90.559555,90.239815
0.2796468,-0.081954,9.856635,-0.103490,9.857519,90.601532,90.476379
0.2820996,-0.053240,9.832706,-0.132203,9.833739,90.770302,90.310234
0.2845529,-0.053240,9.842278,-0.146560,9.843513,90.853111,90.309929
0.2870061,-0.077169,9.859028,-0.158524,9.860604,90.921158,90.448456
0.2894593,-0.053240,9.851849,-0.132203,9.852880,90.768806,90.309631
0.2919125,-0.053240,9.859028,-0.163310,9.860524,90.948975,90.309402
0.2943654,-0.026919,9.839885,-0.170489,9.841398,90.992622,90.156746
0.2968184,-0.038883,9.851849,-0.153739,9.853125,90.894028,90.226135
0.2992713,-0.067597,9.832706,-0.158524,9.834216,90.923630,90.393890
0.3017241,-0.048455,9.844670,-0.125025,9.845584,90.727592,90.282005
0.3041778,-0.079561,9.844670,-0.098704,9.845487,90.574417,90.463036
0.3066310,-0.093918,9.847063,-0.079561,9.847833,90.462898,90.546455
0.3090841,-0.050847,9.837492,-0.055633,9.837781,90.324013,90.296143
0.3115370,-0.060419,9.851849,-0.127418,9.852858,90.740974,90.351372
0.3139902,-0.062812,9.851849,-0.196810,9.854014,91.144417,90.365288
0.3164433,-0.086740,9.849456,-0.177667,9.851439,91.033363,90.504562
0.3188964,-0.077169,9.866206,-0.129811,9.867362,90.753777,90.448128
0.3213503,-0.038883,9.866206,-0.115454,9.866959,90.670433,90.225807
0.3238032,-0.038883,9.832706,-0.136989,9.833737,90.798187,90.226578
0.3262566,-0.019741,9.866206,-0.160917,9.867538,90.934410,90.114639
0.3287093,-0.072383,9.835099,-0.170489,9.836843,90.993080,90.421669
0.3311619,-0.038883,9.844670,-0.141775,9.845768,90.825066,90.226295
0.3336155,-0.041276,9.827921,-0.108275,9.828604,90.631203,90.240631
0.3360687,-0.067597,9.839885,-0.079561,9.840439,90.463249,90.393600
0.3385217,-0.072383,9.861421,-0.113061,9.862334,90.656845,90.420547
0.3409747,-0.026919,9.825528,-0.084347,9.825927,90.491837,90.156975
0.3434276,-0.053240,9.868599,-0.079561,9.869063,90.461906,90.309105
0.3458803,-0.065204,9.854242,-0.079561,9.854779,90.462578,90.379112
0.3483339,-0.026919,9.849456,-0.103490,9.850037,90.601990,90.156593
0.3507868,-0.074776,9.851849,-0.067597,9.852365,90.393112,90.434868
0.3532395,-0.072383,9.830314,-0.067597,9.830812,90.393974,90.421875
0.3556925,-0.062812,9.830314,-0.041276,9.830601,90.240570,90.366089
0.3581460,-0.062812,9.847063,-0.086740,9.847646,90.504677,90.365471
0.3605991,-0.055633,9.851849,-0.101097,9.852525,90.587921,90.323547
